Index,log_hotel_kern,log_parking_ke,log_food_kerne,log_office_ker,log_retail_ker,DNI_HK,HKG_wind_s,tsd_mask,log_area,No_of_Stor,Year_Built,retro_before,retro_after,log_mtr_dist,is_commercial,kWh_m2_ann
116,1.755054246,0,1.604618053,3.109308489,3.383885331,2.316,2.5198801,2.00091,2.089905111,17,1984,0,0,2.424569143,1,37.99
117,0,1.89051549,2.332551563,2.80415512,2.185289943,2.273,2.5350299,1.94756,3.543322901,3,1992,0,0,2.819523182,0,62.52
118,1.860107333,1.842709668,2.842799509,3.212187604,3.490928572,2.312,2.82757,1.9742399,2.517195898,15,1982,1,0,2.07549283,0,104.72
119,0,2.126517781,2.544810672,2.405822567,2.817376954,2.3199999,2.45718,2.00091,2.307496038,15,1990,0,0,2.694576903,1,30.5
120,0,0,0,0,0,2.273,2.1086199,1.94756,1.763427994,25,2008,0,1,2.743828842,0,86.35
121,1.839137262,1.898053472,2.869921935,3.198547118,3.582481532,2.312,2.5198801,2.00091,2.695481676,14,1980,0,0,2.16105157,1,256.07
122,2.973207312,0,2.661824986,3.157039498,3.430561996,2.316,2.5198801,2.00091,2.240549248,14,1975,0,0,2.304123202,0,18.61
123,1.860107333,1.842709668,2.842799509,3.212187604,3.490928572,2.312,2.82757,1.9742399,2.021189299,15,1985,0,0,2.030187826,0,62.48
124,1.949903058,1.981351446,2.913786827,3.162098183,3.525200341,2.312,2.82757,1.9742399,2.123851641,14,1973,0,0,2.102690294,1,66.81
125,0,1.967294734,2.574068341,3.23679918,0,2.2639999,2.5350299,1.94756,3.424554977,18,1993,0,0,2.818066338,1,61.3
126,0,2.26268597,2.542807996,2.546462457,2.17640093,2.2709999,2.7716501,1.94756,3.13225969,40,2006,1,0,2.706382007,0,125.58
127,1.90982496,0,2.559210965,3.070990405,3.126342502,2.316,2.5198801,2.00091,2.136720567,17,1980,0,1,2.199240091,1,31.28
128,0,0,2.755228249,2.986556316,3.42100638,2.316,2.9642301,2.02759,2.361727836,26,1994,0,1,2.011139752,0,100.22
129,0,0,1.976014611,2.451055326,2.567643818,2.388,4.1391702,1.78748,3.066325925,2,1978,0,0,2.97960693,0,73.97
130,1.741243793,0,2.106058253,2.390737335,3.263811169,2.316,2.5198801,2.00091,2.281033367,15,1998,0,0,2.462071197,1,46.9
131,0,2.215187982,1.971594498,2.707117758,3.079749057,2.316,2.2980399,2.00091,2.859138297,21,1993,0,0,2.527475967,1,25.71
132,0,2.077142535,2.163686032,3.126748149,2.936073696,2.2620001,2.1086199,1.94756,3.159266331,22,1994,0,1,2.497624911,0,168.61
133,0,0.979760444,3.294325109,2.44782758,3.652279211,2.2590001,2.4185801,1.9742399,3.804820679,4,2017,0,1,2.381445812,1,308
134,1.216313717,2.315531634,2.30374883,3.148349671,2.820845536,2.316,2.40417,2.02759,2.526339277,20,1997,0,0,2.526190502,0,29.06
135,2.249665418,0,2.548826549,2.248064048,2.730119039,2.309,2.5111799,2.00091,2.31386722,21,1975,0,0,2.177648339,0,10.9
136,0,0,3.264097324,2.267190498,3.386821679,2.316,2.5111799,2.02759,3.15896526,21,1982,0,1,1.796939964,0,153.66
137,0,2.051588524,2.715156479,2.06273988,2.626784716,2.3169999,2.40417,2.02759,2.049218023,15,1993,0,0,2.565820325,1,50.81
138,0,0,3.233310921,3.505399638,3.769081065,2.316,2.9174199,2.05427,2.745074792,23,1977,0,0,2.32480925,1,155.06
139,2.441494056,0,3.272472842,1.595721012,3.390067433,2.322,2.9174199,2.05427,2.62838893,10,1985,0,0,2.494822812,0,11.94
140,0,1.936938763,2.66981226,3.005377884,1.978485925,2.2850001,2.7716501,1.94756,3.167021796,41,2004,0,1,2.801650876,0,72.67
141,2.618645248,0,2.692692741,2.447099096,3.235086353,2.316,2.5111799,2.02759,2.235528447,10,1968,0,0,2.309082228,1,28.55
142,3.135040361,2.27120014,3.069423864,2.674581941,2.908694081,2.313,2.9174199,2.05427,2.514547753,24,2002,0,0,2.434649898,1,138.62
143,0,2.132176426,2.828100879,2.398790402,2.65867046,2.3800001,1.59282,1.78748,3.552303109,34,1990,0,0,2.693565786,1,56.33
144,2.406417528,2.247199675,2.941605835,0,3.24652073,2.316,2.1530099,2.02759,2.733197265,26,1999,0,1,2.452913486,1,279.91
145,0,1.474638701,2.903037864,1.798963999,3.198373871,2.2969999,2.5989101,2.00091,2.605305046,52,2006,0,1,3.332545031,1,160.19
146,0,0,2.756259459,2.740040387,3.314865369,2.313,2.9642301,2.02759,2.531478917,21,1995,1,0,1.400553793,0,108.99
147,0,1.95218584,3.168892107,3.575545771,3.859651567,2.322,2.9174199,2.05427,3.064083436,22,1984,0,0,2.492306573,1,129.86
148,2.755739229,0,3.074286062,2.575557308,3.039715447,2.313,2.5111799,2.02759,2.973589623,16,1969,0,1,1.899016725,0,279.44
149,0,1.686314443,2.260033191,2.792886622,0,2.325,2.8954999,2.00091,3.560504415,15,1998,0,0,2.139113542,0,248.25
150,0,0,3.246067519,2.42390745,3.440518674,2.313,2.5111799,2.02759,2.414973348,20,1997,0,0,1.529024357,1,39.26
151,1.985401789,0,2.234355267,2.359197799,3.371332042,2.313,2.9642301,2.02759,2.260071388,27,1995,0,0,2.211629361,0,22.91
152,0,0,3.17732869,3.430133147,3.739981126,2.313,2.9174199,2.05427,2.737987326,17,2001,0,1,2.321117367,0,291.28
153,2.001125958,0,2.275352836,2.126741656,3.463497332,2.313,2.9642301,2.02759,2.079181246,14,1978,0,0,2.179810912,0,23.47
154,0,1.097704899,1.913676122,2.401774347,2.036800513,2.277,2.7716501,1.94756,3.945025201,41,2008,0,1,2.753027401,0,119.01
155,0,1.636778652,3.722466935,2.649313432,3.935085849,2.2850001,2.12325,1.94756,3.550717423,36,2006,0,1,2.853488702,0,96.08
156,0,0,0,0,3.296292162,2.316,2.9642301,2.02759,2.318063335,28,1997,0,0,2.172302226,0,32.47
157,0,2.361927948,3.093053763,2.474364875,3.20890066,2.325,2.59303,2.00091,3.43949059,13,1990,0,0,2.481907411,1,51.97
158,0,1.845661615,2.274568834,1.888613551,2.444060433,2.316,2.40417,2.02759,2.113943352,14,1969,0,0,2.490187028,1,21.66
159,0,1.88467476,3.5609176,2.304178055,3.725460775,2.2850001,2.12325,1.94756,3.161068385,36,2006,0,1,2.829683091,0,102.11
160,0,2.248534797,0,0,1.694322597,2.323,2.5464599,1.9742399,4.248537237,3,1998,0,1,2.52684792,0,50.51
161,0,1.967348105,2.401402276,1.982623036,2.482985004,2.316,2.40417,2.02759,2.833784375,23,1995,0,1,2.519515908,1,83.33
162,0,2.172576664,2.239099177,0,3.13027266,2.313,2.5742199,2.05427,2.860936621,25,1996,0,0,2.518428668,0,48.71
163,2.590402645,1.982690832,2.895126279,3.12209787,3.316576234,2.316,2.5111799,2.02759,2.411619706,24,1994,0,0,2.354142425,1,113.89
164,0,0,2.828394979,0,3.159720556,2.3169999,2.40417,2.02759,2.50242712,24,1993,0,0,2.494922739,0,28.09
165,0,0,1.738484058,1.690507056,3.265690244,2.313,2.9642301,2.02759,2.167317335,13,1975,0,0,1.907336243,0,14.32
166,0,2.180610386,2.816351362,2.932721797,2.710734911,2.3169999,2.40417,2.02759,2.309630167,13,1987,0,0,2.581148868,1,81.26
167,1.407146079,2.189392027,3.29657744,1.008586559,3.629931267,2.313,2.5742199,2.05427,2.049218023,14,1974,0,0,2.371765266,1,39.93
168,0,1.686314443,2.260033191,2.792886622,0,2.325,2.8954999,2.00091,3.560504415,15,1998,0,1,2.139113542,0,235.75
169,2.366798257,1.871675674,3.334121891,2.920790973,3.302363407,2.313,2.9174199,2.05427,3.20790353,14,1976,1,0,2.271645551,0,136.52
170,0,1.705059363,2.676325896,2.391251005,2.785225184,2.2980001,2.76285,2.05427,2.580924976,12,1975,0,0,3.257250208,0,13.24
171,0,0,2.817796006,2.821974422,3.303807087,2.313,2.5111799,2.02759,2.729974286,15,1984,0,0,1.818371167,1,165.06
172,0,1.967348105,2.401402276,1.982623036,2.482985004,2.316,2.40417,2.02759,2.255272505,13,1981,0,0,2.502130806,0,20.29
173,0,2.327258788,2.906110824,2.276103177,3.058186791,2.3069999,2.4038999,2.05427,2.56937391,28,1993,0,0,2.727557098,1,34.83
174,0,0,3.194561527,3.391212202,3.616754817,2.313,2.9174199,2.02759,2.977266212,23,1975,1,0,2.227894772,0,340.24
175,0,0,3.043613748,3.083660235,3.414801262,2.313,2.5111799,2.02759,2.522444234,22,1992,0,0,2.13498407,1,321.95
176,2.900287366,2.320808652,3.251898463,2.012423817,3.228677468,2.313,2.9174199,2.05427,2.979548375,22,1994,0,1,2.571311523,0,298.63
177,0,1.203125393,3.20932196,3.011223569,3.898606177,2.385,3.0604899,1.78748,4.268484364,2,1997,0,1,2.140393885,1,250.28
178,1.837864182,2.259409915,3.335840856,3.354646179,3.610948528,2.322,2.9174199,2.05427,2.607455023,24,1996,0,0,2.582181073,1,199.35
179,2.258270812,0,3.08864983,3.130710008,2.61816318,2.313,2.5742199,2.05427,2.155336037,23,1991,0,0,2.531012851,1,25.03
180,0,0,3.48019098,3.532349197,4.119615465,2.322,2.9174199,2.05427,2.563481085,23,1984,0,0,2.578123077,1,38.57
181,1.684369532,0.789330343,3.28427505,1.659513083,3.031755755,2.322,2.4038999,2.05427,2.439332694,25,1992,0,0,2.646497307,1,29.22
182,0,2.246222737,2.823923943,2.122071615,3.02589138,2.3069999,2.4038999,2.05427,2.176091259,23,1991,0,0,2.723769056,1,29.14
183,1.963211525,2.237093634,3.463951174,3.382494306,3.623470532,2.322,2.9174199,2.05427,2.768638101,23,1984,0,1,2.582871541,1,97.46
184,0,0,2.360305558,3.129970094,2.803127859,2.3,2.9251499,2.05427,2.424881637,24,1997,0,0,2.500931505,0,14.31
185,1.652889078,1.94287579,3.278202375,2.935265374,2.953578497,2.312,2.90924,2.05427,2.08278537,37,1977,0,0,2.31876249,0,116.53
186,1.856919736,1.977831923,1.966399887,3.284171202,3.314930582,2.313,2.9251499,2.05427,2.089905111,22,1984,0,0,2.562895578,1,139.19
187,0,0,3.285548299,3.28828949,3.885250373,2.322,2.90924,2.05427,2.650307523,24,1997,0,1,2.495275696,0,282.59
188,0,0,2.360305558,3.129970094,2.803127859,2.3,2.9251499,2.05427,2.424881637,24,1997,0,0,2.500931505,0,14.03
189,0,0,3.431593708,3.465961014,4.045166448,2.322,2.9174199,2.05427,2.471291711,23,1996,0,1,2.519996919,0,311.29
190,1.435493978,1.599183064,3.665690716,2.77265829,3.329316525,2.322,2.90924,2.05427,2.264817823,24,1996,0,0,2.501635147,0,49.79
191,0,2.387487697,2.694516565,2.611646858,2.738094505,2.2780001,2.5290899,2.05427,2.979548375,29,2013,0,1,2.386500488,0,42.78
192,1.945493702,1.781353198,3.636723545,3.152285283,3.045013761,2.312,2.90924,2.05427,2.506505032,24,1995,0,0,2.393263424,1,153.92
193,1.874361218,1.925247613,3.536281878,3.105928943,3.052674689,2.312,2.90924,2.05427,2.357934847,24,1992,0,1,2.346813822,0,149.57
194,1.801654755,0,2.699639167,3.305428758,2.988274823,2.313,2.9251499,2.05427,2.260071388,22,1978,0,0,2.536222512,1,15.89
